objectid,filename,youtubeid,vimeoid,title,creator,date,isbn,subject,awards,booktype,keywords
coll001,coll001,,,The Romantic Ideology: A Critical Investigation,"McGann, Jermome J.",1985-02-15,226558509,Romanticism - literary analysis,None,Analysis,"McGann, Jerome; anaylsis, romanticism; ideology"
coll002,coll002,,,Coleridge's Notebooks: A Selection,"Coleridge, Samuel Taylor",2004-01-08,198712022,"Coleridge, Samuel Taylor - writings, misc.",None,Writings,"Coleridge, Samuel Taylor; collectionanthology, non-poetry"
coll003,coll003,,,The Complete Poems,"Blake, William",1978-03-30,140422153,"Blake, William - poetry; Anthology - poetry",None,Writings,"Blake, William; collectection; anthology; poetry"
coll004,coll004,,,The Collected Poems of William Wordsworth,"Wordsworth, William",1998-03-31,9781853264016,"Anthology - poetry; Wordsworth, William - poetry",None,Writings,"Wordsworth, William; collection; anthology; poetry"
coll005,coll005,,,Lord Byron - The Major Works,"Gordon, George",2008-11-15,019953733X,"Anthology - poetry; Gordon, George - poetry",None,Writings,"Gordon, George; collection; anthology; poetry"
coll006,coll006,,,The Reading Nation in the Romantic Period,"St. Clair, William",2007-01-22,521699444,British culture and attitudes,None,History,"St. Clair, William; public; analysis; history; culture"
coll007,coll007,,,The Greek Revolution: A Critical Dictionary,Various,2021-03-25,674987438,British culture and attitudes,None,History,Multiple; history; Greek; Greece; revolution; culture
coll008,coll008,,,"John Keats: The Major Works: Including Endymion, the Odes and Selected Letters","Keats, John",2009-02-15,199554889,"Anthology - poetry; Keats, John - poetry",None,Writings,"Keats, John; collection; anthology; poetry"
coll009,coll009,,,The Complete Poems,"Coleridge, Samuel Taylor",1997-10-01,9780140423532,"Anthology - poetry; Coleridge, Samuel Taylor - poetry",None,Writings,"Coleridge, Samuel Taylor; collection; anthology; poetry"
coll010,coll010,,,Slavery and the Romantic imagination,"Lee, Debbie",2002-01-31,081223636X,"British culture and attitudes; Romanticism - literary analysis; ""Other"" - representation of",None,History,"Lee, Debbie; history; slavery; colonialism; revolution"
coll011,coll011,,,Byron: Life and Legend,"MacCarthy, Fiona",2002-11-13,374186294,"Gordon, George - Biography",None,Biography,"MacCarthy, Fiona; Gordon, George; biography"
coll012,coll012,,,Romantic representations of British India,"Franklin, Michael J.",2006-08-01,415378273,"British culture and attitudes; India - colonialism; Romanticism - literary analysis, ""Other"" - representation of",None,History,"Franklin, Michael J.; history; orientalism; colonialism; India"
coll013,coll013,,,Radical Wordsworth: The Poet Who Changed the World,"Bate, Jonathan",2020-05-19,300169647,"Wordsworth, William - biography",None,Biography,"Bate, Jonathan; biography; Wordsworth, William"
coll014,coll014,,,The Broadview Anthology of Romantic Poetry,Various,2016-08-11,1554811317,"Anthology - poetry;"
coll016,coll016,,,Eternity's Sunrise: The Imaginative World of William Blake,"Damrosch, Leo",2016-10-25,300223641,"Blake, William - poetry; Anthology - poetry",None,Biography,"Damrosch, Leo; Blake, William; biography"
coll017,coll017,,,"Romanticism and the Gothic: genre, reception, and canon formation","Gamer, Michael",2000 - 09-04,521773288,British culture and attitudes; Romanticism - literary analysis,None,Analysis,"Gamer, Michael; analysis; culture; gothic"
coll018,coll018,,,John Keats: A New Life,"Roe, Nicholas",2012-11-13,300124651,"Keats, John - biography",None,Biography,"Roe, Nicholas; Biography; Keats, John"
coll019,coll019,,,Romanticism in the shadow of war : literary culture in the Napoleonic war years,"Cox, Jeffery",2017-03-23,1107419832,"British culture and attitudes; French Revolution - 1789-1801; ""Other"" - representation of",None,History,"Cox, Jeffery; wars; culture; history; Napoleon; revolution; France"
coll020,coll020,,,Napoleon and English Romanticism,"Bainbridge, Simon",1995-11-24,521473365,British culture and attitudes; French Revolution - 1789-1801,None,History,"Bainbridge, Simon; history; wars; Napoleon; revolution; culture; France"
